,match,year,round,round_number,games_loser,games_winner,loser,sets_loser,sets_winner,surface,winner,tourney_name,tourney_order
839,2,1885,second round,2,14.0,21.0,FS Mansfield,1,2,grass,A Moffat,usopen,4
1512,3,1885,second round,2,2.0,12.0,SH Hooper,0,2,grass,P Knapp,usopen,4
2049,4,1885,second round,2,6.0,12.0,C Nightingale,0,2,grass,H Taylor,usopen,4
2581,5,1885,second round,2,9.0,16.0,H Slocum,1,2,grass,GM Brinley,usopen,4
2984,6,1885,second round,2,1.0,12.0,H Lilienthal,0,2,grass,CB Davis,usopen,4
3382,7,1885,second round,2,12.0,14.0,F Warren,1,2,grass,W Berry,usopen,4
22,1,1885,quarterfinals,5,14.0,14.0,A Moffat,1,2,grass,J Clark,usopen,4
838,2,1885,quarterfinals,5,16.0,20.0,H Taylor,1,2,grass,P Knapp,usopen,4
1511,3,1885,quarterfinals,5,3.0,12.0,CB Davis,0,2,grass,GM Brinley,usopen,4
2048,4,1885,quarterfinals,5,3.0,12.0,F Keene,0,2,grass,W Berry,usopen,4
24,1,1885,semifinals,6,7.0,12.0,Joseph Clark,0,2,grass,Percy Knapp,usopen,4
840,2,1885,semifinals,6,14.0,18.0,Walter Berry,1,2,grass,Godfrey M Brinley,usopen,4
21,1,1885,final,7,16.0,21.0,Percy Knapp,1,3,grass,Godfrey M Brinley,usopen,4
841,2,1886,first round,1,9.0,18.0,R Gamble,0,3,grass,P Presbry,usopen,4
5620,14,1886,first round,1,17.0,20.0,WH Barnes,1,3,grass,GA Smith,usopen,4
27,1,1886,second round,2,14.0,21.0,P Presbry,1,3,grass,GM Brinley,usopen,4
843,2,1886,second round,2,2.0,18.0,Edgar,0,3,grass,J Clark,usopen,4
1514,3,1886,second round,2,11.0,22.0,O Campbell,1,3,grass,H Slocum,usopen,4
2051,4,1886,second round,2,16.0,27.0,WR Weeden,2,3,grass,PS Sears,usopen,4
2582,5,1886,second round,2,26.0,28.0,J Dwight,2,3,grass,H Taylor,usopen,4
3776,8,1886,second round,2,2.0,18.0,MS Paton,0,3,grass,GA Smith,usopen,4
4173,9,1886,second round,2,1.0,18.0,EA Manice,0,3,grass,RL Beeckman,usopen,4
4463,10,1886,second round,2,24.0,26.0,Miller,2,3,grass,HM Sears,usopen,4
4750,11,1886,second round,2,1.0,18.0,C Nightingale,0,3,grass,FS Mansfield,usopen,4
5040,12,1886,second round,2,7.0,18.0,W Lewis,0,3,grass,M Fielding,usopen,4
5330,13,1886,second round,2,3.0,18.0,SH Hooper,0,3,grass,CA Chase,usopen,4
6184,16,1886,second round,2,22.0,27.0,FW Taylor,2,3,grass,F Warren,usopen,4
29,1,1886,third round,3,7.0,18.0,GM Brinley,0,3,grass,J Clark,usopen,4
845,2,1886,third round,3,20.0,16.0,H Slocum,2,2,grass,PS Sears,usopen,4
1515,3,1886,third round,3,1.0,18.0,W Berry,0,3,grass,H Taylor,usopen,4
2052,4,1886,third round,3,8.0,22.0,GA Smith,1,3,grass,QA Shaw,usopen,4
2583,5,1886,third round,3,2.0,18.0,HM Sears,0,3,grass,RL Beeckman,usopen,4
2985,6,1886,third round,3,8.0,18.0,M Fielding,0,3,grass,FS Mansfield,usopen,4
3383,7,1886,third round,3,10.0,18.0,Robbins,0,3,grass,CA Chase,usopen,4
3777,8,1886,third round,3,20.0,23.0,F Warren,2,3,grass,M Post,usopen,4
26,1,1886,quarterfinals,5,18.0,19.0,H Slocum,1,3,grass,J Clark,usopen,4
842,2,1886,quarterfinals,5,13.0,18.0,QA Shaw,0,3,grass,H Taylor,usopen,4
1513,3,1886,quarterfinals,5,13.0,21.0,FS Mansfield,1,3,grass,RL Beeckman,usopen,4
2050,4,1886,quarterfinals,5,6.0,18.0,M Post,0,3,grass,CA Chase,usopen,4
28,1,1886,semifinals,6,10.0,18.0,Joseph Clark,0,3,grass,Howard Taylor,usopen,4
844,2,1886,semifinals,6,6.0,18.0,Charles A Chase,0,3,grass,Robert L Beeckman,usopen,4
25,1,1886,final,7,15.0,20.0,Howard Taylor,1,3,grass,Robert L Beeckman,usopen,4
2584,5,1887,first round,1,8.0,18.0,W Lewis,0,3,grass,GR Fearing,usopen,4
2986,6,1887,first round,1,2.0,18.0,P Manchester,0,3,grass,CE Garrett,usopen,4
3778,8,1887,first round,1,8.0,18.0,M Fielding,0,3,grass,RL Beeckman,usopen,4
4174,9,1887,first round,1,10.0,19.0,O Campbell,0,3,grass,H Taylor,usopen,4
5621,14,1887,first round,1,6.0,18.0,WH Barnes,0,3,grass,NH Emmons,usopen,4
5905,15,1887,first round,1,21.0,29.0,W Cushman,1,3,grass,WL Thacher,usopen,4
32,1,1887,second round,2,9.0,20.0,T Coulter,0,3,grass,FS Mansfield,usopen,4
847,2,1887,second round,2,15.0,22.0,QA Shaw,0,3,grass,J Clark,usopen,4
1517,3,1887,second round,2,17.0,23.0,CE Garrett,1,3,grass,GR Fearing,usopen,4
2054,4,1887,second round,2,17.0,24.0,RL Beeckman,1,3,grass,H Slocum,usopen,4
2585,5,1887,second round,2,8.0,18.0,G Depew,0,3,grass,H Taylor,usopen,4
2987,6,1887,second round,2,5.0,18.0,F Warren,0,3,grass,PS Sears,usopen,4
3384,7,1887,second round,2,7.0,18.0,NH Emmons,0,3,grass,GM Brinley,usopen,4
3779,8,1887,second round,2,13.0,21.0,FW Taylor,0,3,grass,WL Thacher,usopen,4
31,1,1887,quarterfinals,5,21.0,27.0,FS Mansfield,2,3,grass,J Clark,usopen,4
846,2,1887,quarterfinals,5,8.0,19.0,GR Fearing,0,3,grass,H Slocum,usopen,4
1516,3,1887,quarterfinals,5,11.0,19.0,PS Sears,1,3,grass,H Taylor,usopen,4
2053,4,1887,quarterfinals,5,20.0,23.0,GM Brinley,1,3,grass,WL Thacher,usopen,4
33,1,1887,semifinals,6,18.0,24.0,Joseph Clark,1,3,grass,Henry Slocum,usopen,4
848,2,1887,semifinals,6,5.0,18.0,William Thacher,0,3,grass,Howard Taylor,usopen,4
30,1,1887,final,7,19.0,25.0,Howard Taylor,0,3,grass,Henry Slocum,usopen,4
35,1,1888,first round,1,2.0,18.0,WH Barnes,0,3,grass,H Slocum,usopen,4
849,2,1888,first round,1,12.0,21.0,FLV Hoppin,1,3,grass,J Clark,usopen,4
1518,3,1888,first round,1,3.0,18.0,FW Taylor,0,3,grass,J Dwight,usopen,4
2586,5,1888,first round,1,13.0,21.0,C Beatty,0,3,grass,CP Wilbur,usopen,4
2988,6,1888,first round,1,10.0,19.0,WD Waller,0,3,grass,O Campbell,usopen,4
3385,7,1888,first round,1,6.0,18.0,F Warren,0,3,grass,M Fielding,usopen,4
3780,8,1888,first round,1,8.0,18.0,J Brown,0,3,grass,A Empie Wright,usopen,4
4175,9,1888,first round,1,11.0,19.0,WR Weeden,0,3,grass,GW Lee,usopen,4
4464,10,1888,first round,1,7.0,18.0,WL Jennings,0,3,grass,PS Sears,usopen,4
4751,11,1888,first round,1,15.0,23.0,A Hubbard,1,3,grass,J Ryerson,usopen,4
5041,12,1888,first round,1,4.0,18.0,A Rives,0,3,grass,B Lamb,usopen,4
5906,15,1888,first round,1,38.0,42.0,TS Tailer,2,3,grass,P Presbry,usopen,4
6185,16,1888,first round,1,25.0,28.0,VG Hall,2,3,grass,AL Williston,usopen,4
37,1,1888,second round,2,7.0,18.0,J Clark,0,3,grass,H Slocum,usopen,4
851,2,1888,second round,2,2.0,18.0,E Tuttle,0,3,grass,J Dwight,usopen,4
1520,3,1888,second round,2,6.0,18.0,CP Wilbur,0,3,grass,O Campbell,usopen,4
2056,4,1888,second round,2,10.0,20.0,M Fielding,1,3,grass,A Empie Wright,usopen,4
2587,5,1888,second round,2,10.0,20.0,GW Lee,0,3,grass,PS Sears,usopen,4
2989,6,1888,second round,2,17.0,26.0,B Lamb,1,3,grass,J Ryerson,usopen,4
3386,7,1888,second round,2,3.0,18.0,RB Hale,0,3,grass,H Taylor,usopen,4
3781,8,1888,second round,2,18.0,20.0,P Presbry,1,3,grass,AL Williston,usopen,4
36,1,1888,quarterfinals,5,11.0,22.0,J Dwight,1,3,grass,H Slocum,usopen,4
850,2,1888,quarterfinals,5,23.0,25.0,A Empie Wright,2,3,grass,O Campbell,usopen,4
1519,3,1888,quarterfinals,5,10.0,20.0,J Ryerson,0,3,grass,PS Sears,usopen,4
2055,4,1888,quarterfinals,5,10.0,19.0,AL Williston,0,3,grass,H Taylor,usopen,4
38,1,1888,semifinals,6,9.0,18.0,Oliver Campbell,0,3,grass,Henry Slocum,usopen,4
852,2,1888,semifinals,6,15.0,23.0,Philip Sears,1,3,grass,Howard Taylor,usopen,4
34,1,1888,final,7,5.0,18.0,Howard Taylor,0,3,grass,Henry Slocum,usopen,4
40,1,1889,first round,1,4.0,18.0,FOS Reade,0,3,grass,CA Chase,usopen,4
853,2,1889,first round,1,5.0,18.0,A Rives,0,3,grass,RB Hale,usopen,4
1521,3,1889,first round,1,10.0,20.0,FW Taylor,0,3,grass,RV Beach,usopen,4
2057,4,1889,first round,1,21.0,26.0,A Empie Wright,1,3,grass,QA Shaw,usopen,4
2588,5,1889,first round,1,12.0,24.0,AL Williston,1,3,grass,J Ryerson,usopen,4
2990,6,1889,first round,1,16.0,24.0,M Fielding,1,3,grass,P Knapp,usopen,4
3387,7,1889,first round,1,11.0,20.0,RC Sands,0,3,grass,D Miller,usopen,4
3782,8,1889,first round,1,9.0,18.0,WW Reece,0,3,grass,GR Fearing,usopen,4
4176,9,1889,first round,1,4.0,18.0,SC Fox,0,3,grass,FLV Hoppin,usopen,4
4465,10,1889,first round,1,8.0,21.0,TS Tailer,0,3,grass,FS Mansfield,usopen,4
4752,11,1889,first round,1,5.0,18.0,EW Gould,0,3,grass,MR Wright,usopen,4
5042,12,1889,first round,1,11.0,18.0,CE Sands,0,3,grass,E Meers,usopen,4
5331,13,1889,first round,1,20.0,22.0,GA Hurd,1,3,grass,ST Chase,usopen,4
5622,14,1889,first round,1,12.0,19.0,WR Weeden,0,3,grass,J Clark,usopen,4
5907,15,1889,first round,1,6.0,18.0,R Huntington,0,3,grass,H Taylor,usopen,4
6186,16,1889,first round,1,7.0,18.0,EV Thompson,0,3,grass,O Campbell,usopen,4
42,1,1889,second round,2,7.0,18.0,RB Hale,0,3,grass,CA Chase,usopen,4
855,2,1889,second round,2,15.0,25.0,RV Beach,1,3,grass,QA Shaw,usopen,4
1523,3,1889,second round,2,13.0,21.0,J Ryerson,0,3,grass,P Knapp,usopen,4
2059,4,1889,second round,2,7.0,18.0,GR Fearing,0,3,grass,D Miller,usopen,4
2589,5,1889,second round,2,6.0,19.0,FLV Hoppin,0,3,grass,FS Mansfield,usopen,4
2991,6,1889,second round,2,12.0,19.0,MR Wright,0,3,grass,E Meers,usopen,4
3388,7,1889,second round,2,22.0,21.0,ST Chase,2,3,grass,J Clark,usopen,4
3783,8,1889,second round,2,11.0,19.0,H Taylor,0,3,grass,O Campbell,usopen,4
41,1,1889,quarterfinals,5,17.0,22.0,CA Chase,1,3,grass,QA Shaw,usopen,4
854,2,1889,quarterfinals,5,9.0,18.0,D Miller,0,3,grass,P Knapp,usopen,4
1522,3,1889,quarterfinals,5,5.0,18.0,FS Mansfield,0,3,grass,E Meers,usopen,4
2058,4,1889,quarterfinals,5,23.0,29.0,J Clark,1,3,grass,O Campbell,usopen,4
43,1,1889,semifinals,6,15.0,22.0,Percy Knapp,1,3,grass,Quincy A Shaw,usopen,4
856,2,1889,semifinals,6,21.0,28.0,Ernest Meers,2,3,grass,Oliver Campbell,usopen,4
39,1,1889,final,7,17.0,19.0,Oliver Campbell,1,3,grass,Quincy A Shaw,usopen,4
3389,7,1890,first round,1,1.0,18.0,LJ Grant,0,3,grass,H Tallant,usopen,4
3784,8,1890,first round,1,5.0,18.0,C Bentley,0,3,grass,MR Wright,usopen,4
4177,9,1890,first round,1,6.0,18.0,FW Smith,0,3,grass,J Clark,usopen,4
4466,10,1890,first round,1,14.0,20.0,SG Walker,1,3,grass,HM Billings,usopen,4
4753,11,1890,first round,1,8.0,18.0,WK Fowler,0,3,grass,CA Chase,usopen,4
5043,12,1890,first round,1,15.0,20.0,A Rives,1,3,grass,GP Herrick,usopen,4
5332,13,1890,first round,1,12.0,20.0,D Kimball,0,3,grass,TP Borden,usopen,4
5623,14,1890,first round,1,18.0,21.0,FLV Hoppin,1,3,grass,M Smith,usopen,4
5908,15,1890,first round,1,0.0,18.0,FA Kellogg,0,3,grass,P Knapp,usopen,4
6187,16,1890,first round,1,11.0,20.0,EA Tuttle,0,3,grass,P Manchester,usopen,4
6463,17,1890,first round,1,10.0,23.0,T Horton,1,3,grass,JW Carver,usopen,4
6645,18,1890,first round,1,14.0,22.0,BS de Garmendia,1,3,grass,A Empie Wright,usopen,4
6826,19,1890,first round,1,10.0,18.0,F Huntington,0,3,grass,O Campbell,usopen,4
7184,21,1890,first round,1,7.0,18.0,EA Thompson,0,3,grass,B Lamb,usopen,4
7363,22,1890,first round,1,8.0,19.0,JHF Hunt,0,3,grass,J Ryerson,usopen,4
7539,23,1890,first round,1,10.0,18.0,WB Dinsmore,0,3,grass,EL Hall,usopen,4
7889,25,1890,first round,1,1.0,18.0,WF Metcalfe,0,3,grass,PS Sears,usopen,4
46,1,1890,second round,2,5.0,18.0,GF Brown,0,3,grass,C Hobart,usopen,4
858,2,1890,second round,2,19.0,30.0,D Miller,1,4,grass,M Chace,usopen,4
1525,3,1890,second round,2,5.0,18.0,EW Gould,0,3,grass,VG Hall,usopen,4
2061,4,1890,second round,2,7.0,18.0,MR Wright,0,3,grass,H Tallant,usopen,4
2590,5,1890,second round,2,11.0,19.0,HM Billings,0,3,grass,J Clark,usopen,4
2992,6,1890,second round,2,14.0,21.0,GP Herrick,1,3,grass,CA Chase,usopen,4
